milk,petfood,veggies,cereal,bread,rice,meat,yogurt,chips,cola,fruit
1.0,0.4344304675224049,-0.005863862871218762,0.6561484030967494,0.6082393611973971,0.13758655664030625,-0.5915338016419909,-0.15692279155999383,-0.13449248649702117,-0.039165785083634164,-0.21866807943024805
0.4344304675224049,1.0,-0.3049219172025966,0.5616219933159847,0.4956954084185461,-0.26193149194423815,-0.28306830212810824,-0.40843537078991726,0.28024354262245255,0.31451509521240983,-0.4310693801842372
-0.005863862871218762,-0.3049219172025966,1.0,-0.36771538784720137,-0.28507404667906955,0.7056348066983519,-0.07941744534132623,0.6706039272751038,-0.6221058362531383,-0.7544862145588496,0.5948033019252672
0.6561484030967494,0.5616219933159847,-0.36771538784720137,1.0,0.72060365228656,-0.23436838728296322,-0.4823811696816604,-0.5056117802946991,0.2299748269417266,0.31473082477417963,-0.5458018061500673
0.6082393611973971,0.4956954084185461,-0.28507404667906955,0.72060365228656,1.0,-0.1440894086023753,-0.41595370080053895,-0.3982355813337485,0.11429295463147024,0.25280598597021925,-0.4333965122970463
0.13758655664030625,-0.26193149194423815,0.7056348066983519,-0.23436838728296322,-0.1440894086023753,1.0,-0.27185886216549243,0.730972147032193,-0.709694836577397,-0.8406051472639918,0.6111312690875189
-0.5915338016419909,-0.28306830212810824,-0.07941744534132623,-0.4823811696816604,-0.41595370080053895,-0.27185886216549243,1.0,-0.03780100783650594,0.20252385264073325,0.21181989227337747,0.05025494834764653
-0.15692279155999383,-0.40843537078991726,0.6706039272751038,-0.5056117802946991,-0.3982355813337485,0.730972147032193,-0.03780100783650594,1.0,-0.6347251868851419,-0.7653254363106864,0.655998595949297
-0.13449248649702117,0.28024354262245255,-0.6221058362531383,0.2299748269417266,0.11429295463147024,-0.709694836577397,0.20252385264073325,-0.6347251868851419,1.0,0.712858798723842,-0.5277382948075068
-0.039165785083634164,0.31451509521240983,-0.7544862145588496,0.31473082477417963,0.25280598597021925,-0.8406051472639918,0.21181989227337747,-0.7653254363106864,0.712858798723842,1.0,-0.6606849683550411
-0.21866807943024805,-0.4310693801842372,0.5948033019252672,-0.5458018061500673,-0.4333965122970463,0.6111312690875189,0.05025494834764653,0.655998595949297,-0.5277382948075068,-0.6606849683550411,1.0
